state,date,type,median,lower_90,upper_90,lower_50,upper_50
Alabama,2020-05-29,estimate,1.09,1.01,1.16,1.08,1.13
Alabama,2020-05-30,estimate,1.09,1.01,1.16,1.07,1.13
Alabama,2020-05-31,estimate,1.09,1.01,1.16,1.07,1.13
Alabama,2020-06-01,estimate,1.09,1,1.15,1.07,1.13
Alabama,2020-06-02,estimate,1.09,1.01,1.15,1.07,1.12
Alabama,2020-06-03,estimate,1.09,1.01,1.16,1.06,1.12
Alabama,2020-06-04,estimate,1.09,1.01,1.16,1.07,1.12
Alabama,2020-06-05,estimate,1.09,1.02,1.16,1.06,1.12
Alabama,2020-06-06,estimate,1.09,1.02,1.16,1.07,1.13
Alabama,2020-06-07,estimate,1.09,1.01,1.16,1.07,1.13
Alabama,2020-06-08,estimate,1.1,1.01,1.16,1.08,1.13
Alabama,2020-06-09,estimate,1.1,1.02,1.17,1.08,1.13
Alabama,2020-06-10,estimate,1.1,1.02,1.17,1.08,1.13
Alabama,2020-06-11,estimate,1.1,1.02,1.17,1.08,1.13
Alabama,2020-06-12,estimate,1.11,1.03,1.17,1.08,1.13
Alabama,2020-06-13,estimate,1.11,1.03,1.17,1.09,1.14
Alabama,2020-06-14,estimate,1.11,1.03,1.18,1.08,1.13
Alabama,2020-06-15,estimate,1.11,1.03,1.17,1.08,1.14
Alabama,2020-06-16,estimate,1.11,1.04,1.18,1.09,1.14
Alabama,2020-06-17,estimate,1.11,1.04,1.18,1.08,1.14
Alabama,2020-06-18,estimate,1.11,1.05,1.19,1.09,1.14
Alabama,2020-06-19,estimate,1.12,1.05,1.19,1.09,1.14
Alabama,2020-06-20,estimate,1.12,1.06,1.2,1.09,1.14
Alabama,2020-06-21,estimate,1.12,1.05,1.2,1.1,1.15
Alabama,2020-06-22,estimate,1.12,1.05,1.2,1.1,1.15
Alabama,2020-06-23,estimate,1.12,1.05,1.2,1.1,1.15
Alabama,2020-06-24,estimate,1.13,1.06,1.21,1.09,1.15
Alabama,2020-06-25,estimate,1.13,1.06,1.21,1.09,1.15
Alabama,2020-06-26,estimate,1.13,1.06,1.21,1.09,1.15
Alabama,2020-06-27,estimate,1.13,1.06,1.21,1.1,1.16
Alabama,2020-06-28,estimate,1.14,1.06,1.21,1.09,1.15
Alabama,2020-06-29,estimate,1.14,1.06,1.22,1.1,1.16
Alabama,2020-06-30,estimate,1.13,1.06,1.22,1.09,1.16
Alabama,2020-07-01,estimate,1.13,1.06,1.22,1.08,1.15
Alabama,2020-07-02,estimate,1.13,1.06,1.22,1.09,1.15
Alabama,2020-07-03,estimate,1.13,1.06,1.22,1.08,1.15
Alabama,2020-07-04,estimate,1.12,1.05,1.22,1.08,1.15
Alabama,2020-07-05,estimate,1.12,1.05,1.21,1.07,1.14
Alabama,2020-07-06,estimate,1.11,1.04,1.2,1.07,1.13
Alabama,2020-07-07,estimate,1.1,1.03,1.19,1.07,1.13
Alabama,2020-07-08,estimate,1.1,1.03,1.18,1.06,1.12
Alabama,2020-07-09,estimate,1.09,1.02,1.17,1.05,1.11
Alabama,2020-07-10,estimate,1.08,1.01,1.15,1.05,1.1
Alabama,2020-07-11,estimate,1.07,1,1.14,1.04,1.08
Alabama,2020-07-12,estimate,1.06,0.99,1.13,1.04,1.09
Alabama,2020-07-13,estimate,1.05,0.97,1.11,1.02,1.07
Alabama,2020-07-14,estimate,1.04,0.97,1.1,1.01,1.07
Alabama,2020-07-15,estimate,1.03,0.96,1.1,1,1.06
Alabama,2020-07-16,estimate,1.02,0.94,1.09,0.99,1.04
Alabama,2020-07-17,estimate,1.01,0.92,1.07,0.97,1.04
Alabama,2020-07-18,estimate,1,0.91,1.07,0.97,1.03
Alabama,2020-07-19,estimate,0.99,0.89,1.07,0.95,1.02
Alabama,2020-07-20,estimate,0.98,0.88,1.07,0.94,1.01
Alabama,2020-07-21,estimate,0.97,0.87,1.06,0.94,1.01
Alabama,2020-07-22,estimate,0.96,0.86,1.06,0.93,1.01
Alabama,2020-07-23,estimate,0.96,0.85,1.06,0.93,1.01
Alabama,2020-07-24,estimate,0.95,0.85,1.06,0.91,1
Alabama,2020-07-25,estimate,0.95,0.85,1.07,0.92,1.01
